"","fb_data9.message"
"498","#90876번째울림
2017. 06. 21. 오후
<그 외 (위의 카테고리 외 기타 등등)>
내가 은우 형아랑 결혼하는 완벽한 플랜.txt

1. 성대 방송국에 잠입한다.

2. 방송국 직원들을 기절시키고 내가 방송을 내보낸다.

3. 나의 귀여움으로 성대 학생들을 매료시킨다.

4. 은우 형아가 성대 학생인 것은 '자명한' [FACT]

5. 성대생들의 축복 속에 나를 만나러 온 은우 형아랑 결혼을 한다.

6. 미션 ""『SUCCESS━!』"""
"499","#90869번째울림
2017. 06. 21. 오후
<사랑>
지금 사귀는 있는 애가
왜자꾸 클럽가고싶다고,
클럽가버릴거라고 협박하는지 모르겠다.
클럽에 어떤이유로가는지는 알겠는데,

나에 대한 최소한의 예의로,
거기 가고싶다고 떼쓰는거
진짜 별로인 것 같다."
"500","#90858번째울림
2017. 06. 21. 오후
<사는얘기>
아 번호 좀 따여보고 싶다 진짜! 인생 살면서 한번쯤은 따여봐야하지 않겄냐 기분 장난 아니ㄹㅇㅓ 같은데"
"501","#90853번째울림
2017. 06. 20. 오후
<#야나무숲>
너랑 섹스하는 꿈을 꿨어.

그냥 너무 너였어. 어제 입은 옷 그대로 머리상태 그대로의 너.
배실배실 웃으면서 예쁜말은 절대 안해주는 너.

너무 현실적이라서 아직도 꿈인지 현실인지 구분이 잘 안가는데

혹시 어제 술먹었니
나를 부르고는 싶은데 연락하긴 애매해서 그래서 꿈에 찾아왔니

그래도...
아무리 그래도...
아무리 그래도 꿈인데...
조루인거까지 현실적일 필요는 없었잖아ㅠㅠㅠㅠ 바보야ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ짜증나ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ"
"502","#90844번째울림
2017. 06. 21. 오전
<성균관대학교 대나무숲>
안녕하세요, 저는 처음으로 대나무 숲에 글을 남겨봅니다. 글을 남기는 이유는 앞으로의 더욱 학교 발전을 위한 것입니다. 얼핏하면 논란이 될 수도 있지만 논란이 아닌 앞으로 더욱 함께 발전하자는 의미에서 글을 용기내어 써봅니다. 
최근, 시험이 끝나고 엘리베이터에 탔는데 석,박사 과정 분들이 시험감독관을 하시고 다시 사무실로 가시는 길인 것 같았습니다. 대화를 얼핏들어보니 시험감독관을 처음해보시는 분인데 시험에 오지도 않은 학생이 있다는 것에 대한 걱정을 이야기하는 것 같았습니다. 그런데 거기서에서 나이가 좀 있으신 분이 이런 말씀을 하셨습니다. 

""학사 친구들 신경쓰지마라, 너는 너 할 일만 잘하면 된다, 우리는 교수님한테만 잘하면 되는 것이다""

라는 말을 하셨습니다. 아니, 어떻게 이런 말씀을... 시험감독관님, 그리고 석,박사 분들은 교수님을 얼굴을 빛내는 존재들이라고 생각합니다. 학사 친구들 역시 소중한 교수님들의 제자입니다. 물론 시험감독관 님께 어떤 일이 있었는지 정확하게 알 수 없습니다. 하지만, 정말 저렇게 생각하더라도 시설을 학,석,박 관련 없이 사용하는 교내에서 이런 말씀을 하시다뇨. 

저는 교내 활동을 통해 항상 교수님이 학,석, 박사 과정 분들과의 교화를 주장하셨고 저 역시도 그 분들을 선배라고 생각하였습니다. 하지만, 저런 말씀은 함께 성대생으로 지양해주셨으면 했습니다. 저희는 모두 성대라는 큰 테두리 안에서 함께라는 생각을 가졌기 때문입니다. 더욱 끈끈한 성대가 되었으면 하는 바램에서 앞으로 시험감독관을 하실, 그리고 함께라고 생각하는 학,석,박 여러분들과 이런 이야기를 전달하고 싶었습니다."
"503","#90832번째울림
2017. 06. 21. 오전
<사는얘기>
나는 아버지 속을 썩인적이 없다.
적어도, 내 생각은 그렇다.

어릴 때 부터, 시키지 않아도 열심히 했다.
칭찬받고 싶었다.
아버지의 자랑이 되고싶었다.
잘난 아들이 되고싶었다.

""아들, 긴장하지 말고 화이팅!""
너무 떨렸다. 평소보다 긴장했고, 숨길 수 없었다.
""어땠어?""
""망했어. 나도 몰라.""
아무 대답이 없었다.

""아들, 오늘 수능 잘쳤니?""
""아니. 평소보다 못봤어. 실수가 많았어.""
속상했다. 위로받고 싶었다.
아무 대답도 없었다. 
그냥 굳은 표정의 아버지가 보였다.

울었다. 조금 지나면 성인이 되는 사내자식이, 
처음으로 부모님 앞에서
어린애처럼 울었다.
'괜찮다' 라는 위로의 말 한마디 듣지 못해 섭섭했었나 보다.

그리고 시간이 많이 흘렀다.
나는 어느새 군대도 다녀온,
아버지와 술 한잔 기울일 수 있는
어른이 되었다.

""아빠, 나 솔직히 있잖아. 왜 공부 열심히 했는지 알아?""
""왜?""
""나, 아빠 엄마가, 다른곳에서 내 얘기 자랑스럽게 할 수 있었으면 했거든. 
그래서, 열심히 했어. 그래서 그런가?
나는 못하면 안될 것 같아. 위로받지 못하니까.""

괜히 섭섭했다. 
굳이 그 날을 돌이켜 생각 할 때마다
왜 나는 항상 잘나야 하는걸까 하며.

그래서 그 날, 나는 아버지 앞에서 
평소에는 없던 주사를 부렸다.

으름장을 놓았다. 나도 이제 부모님이 아닌,
나를 위해 살겠다고, 괜히 투덜댔다.

""미안하다 아들.""

나는 사실 할머니를 뵌적이 없다.
아버지는 매우 늦둥이다.
공부를 잘했다.
아니, 열심히 했다. 아버지는 할머니의 자랑이였다.
그 어린 아이는, 부모님의 자랑이고 싶었다.

내 모습에서, 옛날 생각이 많이 나셨나보다.
아버지가 처음으로 눈시울을 붉혔다.
그 날 마셨던 술기운 때문인지,
그 날 밤의 따듯함 때문인지는 몰라도,
아버지는 그 날 내 앞에서 처음으로 
늦둥이 소년이 되었다.

나는 잊고 있었다.
어릴 때 두시던 아버지 인터넷 바둑 닉네임이,
비밀번호가, 핸드폰 바탕화면에는
내가 있었다는걸.
나는 항상 아버지와 있었다.
혼자 잠 못자던 겁쟁이도,
학원가기 싫어 떼쓰던 어린 철부지도,
아버지의 자랑이였다.

소년을 만나고서야 알았다.
나는 그때도, 그리고 지금까지
여전히 아버지의 자랑이었다.

다음에 집에 갈때, 소주 두병 사들고
아버지와 술 한잔 기울여야겠다.
그리고 말해야지.
20년간 나의 자랑이 되어주셔서 고맙다고."
"504","#90830번째울림
2017. 06. 21. 오전
<질문/건의/의견>
벌써 한 학기가 끝나가는데, 기숙사 룸메이트가 너무나도 민폐였고, 역겨워서, 그동안 참고 살았던 게 너무 짜증나고 혹시 다음 학기에도 기숙사 들어간다면 딴 사람에게도 민폐 끼칠 게 안 봐도 비디오입니다 ㅠㅠ 이런 경우에 좀 신고?해서 기숙사 앞으로 지원조차 못 하게 할 수 있는 방법은 없나요...?"
"505","#90828번째울림
2017. 06. 21. 오전
<인간관계>
대숲 안녕하세요? 학기 초에 엘씨에서 왕따를 당하고있다는 사람들의 제보가 많았는데요, 전 저희 엘씨 애가 너무 마음에 들지 않아요. 눈치도 없고 생각없이 말하며 밉다밉다 하니까 싫은 짓만 골라서 해요 대체 왜그러는 건지 모르겠어요. 전 따로 그 애를 왕따 시키거나 하진 않고 상대를 안합니다. 친해지고 싶지 않은데 자꾸 말하는데 끼어들어서 얘기해요. 엘씨라 함께 보는 일이 많은데 정말 너무 싫어요 모든 것이 싫어요 사람이 그렇게 싫을 수가 없어요 절이 싫으면 중이 떠나라고 하죠? 그래서 엘탈 할까 생각도 많이 했지만 걔 때문에 다른 수많은 엘씨원들과 연을 끊는 건 아닌것 같아요... 걔를 차단해도 단톡에선 걔가 보이더군요ㅠㅠㅠㅠㅠㅠㅠ하 걔가 말 할 때마다 단톡 나가고 싶어요. 어떡하면 좋을까요?? 고등학교에서는 담임 선생님과 상담하면 사이가 좋지 않은 아이랑 자리를 멀리 떨어뜨려 주시거나 내년에 다른 반으로 배정해 주시는데... 여긴 담임선생님도 안계시고ㅠㅠㅠㅠ (** 같은 시간에 걔랑 멀리 떨어져 앉으려고 해도 걔가 자꾸 제 주변에 앉아요ㅠㅠㅠ) 전 학교폭력 교육받을때 싫은 친구는 괴롭히지 말고 그냥 건들이지 말라고 해서 안건들이는데 얘가 자꾸 저에게 다가와요ㅠㅠㅠㅠㅠㅠㅠㅠ시간이 지나면 괜찮아 질까 해서 한학기동안 참았는데 더더더더더더더더더더더더더더더더더 싫어져요... 다른 엘씨 애들도 이제 다 아는 것 같아서 저때문에 눈치 보는거 같고.... 엘씨한테도 미안해요ㅜㅜㅜㅜ살려주세요ㅜㅜㅜㅜ"
"506","#90826번째울림
2017. 06. 20. 오후
<사랑>
여자친구가 더이상 제가 좋지 않다면서 그만 만나자고 합니다. 특별히 크게 싸운 적도 없습니다. 제 잘못은, 그동안 만나면서 여자친구가 남들을 만나는 것 보다 저와 단 둘의 시간을 갖길 원했습니다. 매일 사랑한다고 얘기했지만 여자친구는 사랑받는 느낌을 잘 받지 못했나봐요. 여자친구에게 장난친 것들 조차 너무 후회됩니다. 너무 귀여워서 바보라고 놀리고 못생겼다고 라고도 많이 놀렸거든요. 그래도 이외에는 나름대로 사랑한다고 많이 표현하고 여자친구에게도 분명 마음이 전해졌을텐데 또 제가 그런 행동을 할 때 마다 다르게 느껴졌나봅니다. 제가 다시 잡아도 이 여자는 돌아오지 않을까요? 이제 겨우 80일 정도 사겼습니다."
"507","#90825번째울림
2017. 06. 20. 오후
<사랑>
대숲! 여자친구랑 싸우고 헤어지기 직전까지 가서 서로 생각할 시간을 갖고 시험이 끝나면 만나기로 했거든요? 시험이 끝나서 연락해봤는데 카톡을 읽씹당했어요 ㅎㅎ 시험기간에는 마주쳐도 인사도 안하더라구요! 저 어떡하죠 하하
좀 더 생각할 시간을 가지자는 걸까요? 아니면 아무 만남 없이 이대로 헤어지자는 걸까요? 이 여자와는 앞으로 계속 마주쳐요! 왜냐면 같은 동아리거든요! 그 것 때문인지 분명 예전에 우리는 나중에 헤어져도 좋은 사이로 남자고 했었거든요! 편한 사이로 남기로요! 하핳 망했다!
난 얘가 아직 너무 좋은데..."
"508","#90817번째울림
2017. 06. 20. 오후
<술..>
안녕하세요 대숲! 저는 술을 너무너무너무 좋아하지만 잘 못 마시는 사람이에요ㅠ 좋아하는 캔맥주를 사도 반을 마시면 취해버려서 혼자 있을 때는 다음날 아침에 엄청나게 아까워하면서 버려요ㅠㅠ 어떻게 하야 주량을 늘릴 서 있는 건가요ㅠㅠㅠㅠㅠㅠ 고수님들 비법을 전수받고 싶어요...!!!!!!"
"509","#90813번째울림
2017. 06. 20. 오후
<취향입니다 존중해주시죠>
요즘 이렇게 엔터 몇번 쳐서 쓰는 글이 유행이라면서요!(T.H.E.보.기. 이게 유행이라매) 그래서 저도 뭐가 좋을지 생각을 해봤습니다. 얘를 들면...
.
.
.
.
.
.
.
.
무겁습니다"
"510","#90810번째울림
2017. 06. 20. 오후
<학교>
처음보는 신규강사를 배정해놓고 정정 및 철회도 안되는 계절학기시스템을 운영하는 학교의 속내는뭘까요?인생 운이라는걸 가르쳐주고 싶은건가. 적어도 첫날정도엔 취소할 수 있어야되는거 아녜요?"
"511","#90809번째울림
2017. 06. 20. 오후
<저.. 진지합니다>
정말 진지하게 경영관 앞 벤치에서 담배 안 피시면 안되나요? 학교 다니면서 제일 많이 지나다니는 길인데 너무 힘들어요... 그 구역이 흡연구역도 아닌걸로 아는데 너무 다들 당당하게 피셔서 화가납니다ㅠㅠ 법적으로도 혐연권이 흡연권보다 앞서는 걸로 아는데 담배 냄새 싫어하면 오히려 싫어하시고..또 그러면 흡연부스 만들어달라고 하시는데 그건 흡연자 분들이 학교측에 건의하셔야 하는거 아닌가요?  제발 경영관 앞에서 숨 안 참고 지나갈 수 있었으면 좋겠습니다"
"512","#90808번째울림
2017. 06. 20. 오후
<저.. 진지합니다>
#90745, #90746 번째 울림에 대한 익명댓글 
울림을 처음 읽고는 성매매 합법화에 안될 이유가 없다고 생각했습니다.
하지만 인간존엄성 관련 내용을 읽고는 다시 생각해봤습니다. 
인간은 그 자체로 존엄하고, 존중받아야 합니다. 
인간의 본성인 성적 욕구또한 존중받아야 함이 옳지만, 그것이 인간 자체의 위엄을 헤쳐선 안된다고 생각합니다. 지금과 같은 윤리의식 결핍 상태와 인간에 대한 올바른 이해가 모든 이들에게는 부족한 상태에서 성매매 합법화는, 자칫하면 인간존엄성 무시를 공적으로 인정하는 행위로 보여질 수 있습니다. 인간의 신체가 정신적 요소 없이, 쾌락을 위해 소비되는 것에 제제를 두지 않는 것이니까요. 단순히 합법이네 불법이네의 논제가 아닌 것 같습니다."
"513","#90805번째울림
2017. 06. 20. 오후
<저.. 진지합니다>
 안녕하세요 #90547번째울림 제보자입니다. 생각보다 너무 많은 분들이 댓글을 달아주셔서 당황하고 놀랐었는데 덕분에 위로도 많이 받았고 복잡했던 생각도 정리된 것 같습니다. 감사합니다. 
 댓글은 하나하나 읽어보았는데 여자친구 인생을 책임져줄거 아닌이상 냉정하게 판단해야 할거같다는 내용을 보고 생각을 밤새 좀  해봤어요. 그런데 답이 안 나오더라구요. 말그대로 미래는 어떻게 될지 모르는거니까요. 
 그래서 지금은 제 마음가는대로 하려 합니다. 옆에 있으려구요. 책임감 뭐 이런 거창한건 아니고 이기적일 수도 있지만 그래야 제 마음이 편할거같아요. 할수있는데까지 안하고 손 놓아버리면 후회할것 같아서요.
 그런데 저를 보고 자꾸 여자친구가  그놈을 떠올리는건 안좋을거 같아서 살이라도 찌울까 하는데(저랑 그놈은 마른 편으로 비슷한 체격입니다.) 제가 잘 찌는 체질이 아니라 좀 걱정이네요. 

몸해치지 않는 선에서 빨리 찌울수 있는 법이 있으면 알려주셨으면 좋겠습니다. 제가 형편이 그리 좋지않아서 헬스 pt를 끊고 그런건 좀 무리일거같아서요. 

 아 그리고 많은 분들이 정신과 치료를 권해주셨는데 여자친구는 꾸준히 상담치료를 받다가 상담해주시는 분과 잘 안맞는것같다 해서 지금은 다른 곳으로 옮겨서 치료를 받고 있습니다. 
  이전까지는 상담치료만 하다가 옮긴 곳에서 다시 진단을 받으니 TI(너무 두려움이 극심해서 저항하지 못하는 상태를 뜻하는 용어라고하셨어요)로 인한  자책감때문에 외상후스트레스 장애도 심하게 오고 우울증,무기력증도 동반된 것 같다고 하셔서 이제는 상담과 함께 약물도 조금씩 복용하고 있구요. 
   
 이 글과 이전 글은 여자친구에게 보여주지 않을 생각이에요. 객관적으로 본인이 어떤 일을 당했는지를 써놓은 걸 보는건 좋지 않을것 같아서요. 지금 상황을 아는 사람도 저와 가족들말고는 없으니 제가 보여주지 않는 이상 볼 일도 없겠죠 아마. 
 답답한 마음에 쓴 글에 많은 분들이 함께 안타까워해주시고 응원해주셔서 감사했습니다. 댓글 읽으면서 4개월이 결코 긴 시간이 아닌데 너무 빨리 좌절한거 같아 반성이 많이 됐어요. 
 혹시나 언젠가 다시 글을 쓰게 된다면 고민, 한탄이 아니라 칭찬해달라고 이제 많이 나았고 예전처럼 우리 다시 여행도 가서 하루종일 재밌게 놀기로 했다는 내용으로 쓰고 싶네요. 
긴 글읽어주셔서 감사합니다."
"514","#90803번째울림
2017. 06. 20. 오후
<그 외 (위의 카테고리 외 기타 등등)>
안녕하세요 대숲스! 
요즘 시험기간이라 저도 시험을 치러 다니는데
신기하게도 시험치러간 강의실마다 책상에 컨닝의 흔적들이 가득하네요~ 저거 쓸 시간에 차라리 공부를할듯^^;"
"515","#90799번째울림
2017. 06. 20. 오후
<저.. 진지합니다>
음..요즘 대숲에 성매매 관련 글이 많이 올라오는것 같아서요. 여러분께 질문하고 싶은게 있어요.
우리나라에서 성매매는 불법이고, 도덕적으로, 사회 인식적으로도 하면 안된다,의 분위기가 전반적인데요. 저도 이때까지 그렇게 생각하고 있었습니다. 파는 사람이나 사는 사람이나 다 쓰레ㄱ..라고요.
근데 친구가 방학때 여행을 갔다왔는데 성매매 합법인 나라에 가서 성매매를 했대요. 처음에 듣고 정말 경악했는데 그 친구는 또 아무렇지 않게 말해서 더 충격이었습니다. 전 듣자마자 '더럽다' 라는 생각이 들었거든요. 근데 콘돔도 착용했다고 하고... 불법도 아니라고 당당하게 말하는 친구를 보면서 제 생각이 잘못된건가? 하는 생각이 들었습니다. 
여러분은 어떻게 생각하시나요?"
"516","#90790번째울림
2017. 06. 20. 오후
<인간관계>
니가 아무리 인싸이고 인기가 많아도
할 말 안 할 말 못 고르는 건 병이야
사실이든 거짓이든 다 명예훼손이야 정신차려라 좀
적당히 좀 하자"
"517","#90789번째울림
2017. 06. 20. 오후
<사랑>
요즘 큰 고민이 생겼어요. 여자친구랑 사귄지 이제 곧3년이 다되어가는 취준생입니다. 저도 여자친구도 모두 취준생이어서 한 달에 일주일에 한 번 혹은 이주일에 한 번 정도 만나는거같아요. 그래서 그런건지 몰라도 여자친구가 있는데도 외로워요. 엄청 외로워요. 그리고 무서워요. 연애한지 1년쯤 되었을때 여자친구가 교환학생을 갔었는데 그 때 여자친구랑 헤어질 뻔한적이 있어요. 그 이유는 여자친구가 저를 오래 못보니까 이제 안좋아하는거같다고 해서였어요. 저는 끝까지 붙잡았고 돌아와서 얘기하자고 한 후 한국에 와서 다시 잘 사귀게 되었어요. 그런 경험이 있어서 그런지 무섭고 외롭네요. 요즘들어 여자친구가 선톡도 안해요. 원래 먼저 일어난 사람이 카톡을 하는데 제가 일어나서 카톡하면 항상 이미 깨어있고 학교에 가있고 그래요. 일어났다는 카톡 하나하기가 힘든것도 아닌데요.. 그리고 제가 아파서 새벽에 겨우 잠들고 저녁 여덟시가 다되어서 일어난 적이 있었는데 그때까지도 카톡이 없어서 너무 서운해서 이 시간까지 카톡이 왜 없냐고 내가 카톡이 없으면 무슨일 있는지 걱정안되냐고 물어봤더니 그냥 카톡 안했데요. 그냥 이유없이요...이러다가도 한번씩 상냥하고 사랑스럽게 카톡오면 바로 풀리고 또 서운해하고 반복이네요. 점점 외롭움과 서운함이 여자친구를 사랑하는 마음보다 커지고 있는거같아요...힘드네요. 헤어지자니 제가 그걸 감당할수 없을거같고..계속 이렇게 지내면 계속 힘들거같고..우울한 밤이네요.."
"518","#90783번째울림
2017. 06. 20. 오후
<사랑>
사람이 이렇게 힘들수가 있나 싶다
시간은 너무 빨라서 헤어지고 나서 몇 주가 되어가는데 나는 아직 그자리에 남아있어 
아직도 헤어졌다는 게 실감이 안나는 걸까 
우연히 너를 마주칠 때마다 너를 잡고 싶은 마음을 간신히 억누르고 괜찮은 척을 해 
이제는 술 마시고 너를 찾아가지도 전화를 
걸지도 않게 되었지만 여전히 나는 아픈것 같아
언제든지 너가 다시 내게 오기를 기다려"
"519","#90779번째울림
2017. 06. 20. 오후
<사는얘기>
세상에는 두가지 종류의 사람이있죠"
"520","#90756번째울림
2017. 06. 20. 오전
<인간관계>
나 친구 개많아 **많아 너희가 내 인생에서 그렇게 중요하지도 않고 필요하지도 않고 너희 없어도 내 친구들이랑 ** 잘살거든 너희는 그냥 너희끼리 평생 그렇게 끼리끼리 살아ㅎㅎ"
"521","#90755번째울림
2017. 06. 20. 오전
<학교>
종강 전날이자 시험 전날, 감성 충만해지는 새벽이네요
대학에 들어와서, 3개월 간 짝사랑 해온 친구가 있습니다
이 친구는 저를 다른 남자들과 같이 남자 사람 친구로 생각하며 지내고 있는데,
고백해도될가요..?"
"522","#90718번째울림
2017. 06. 19. 오후
<성균관대학교 대나무숲>
#90685번째울림 
습관되서 그래요.
밥 먹고 숨쉬는 것 마냥 생각하다보면 어느새 시간이 지나가는 거죠.
그 사람의 행동에 설레든지, 포기하려고 마음 먹든지, 결국 모든 생각이 그 사람이 되니까요.
그러다 보면 다른 사람이 보이지도 않고, 누군가가 다가와도 아, 난 그 사람이 있는데, 라는 생각과 함께 밀어내기도 하고요.
물론 제 경험이라 일반화시키기 힘들 수 있겠지만요!!
(저는 5년 짝사랑을 했었어요! )
오래된 짝사랑에서 벗어나는 일은 오래된, 나쁜 습관을 버리는 것과 비슷했던 것 같아요.
벗어났다고 생각해서 잠시 방심하면 다시 돌아가게 되고, 힘들게 벗어나면 그걸 또 반복하고....
그냥, 습관이에요:)"
"523","#90701번째울림
2017. 06. 19. 오후
<사는얘기>
돈이 없는건 너무 서러운 것 같아요.
넉넉하게 밥걱정 없이 사는 등록금 걱정없는 친구들이 참 부러워요
밥 먹을때도 맛은 포기한지 오래에요. 그냥 저렴하게 끼니를 때우는게 목적이고 그것마저 없으면 정수기 물을 들이키기도 해요. 등록금은 버는족족 학자금 대출 갚기 바빠요. 아직도 못갚은 학자금을 보면 마음이 답답해요. 연애나 결혼은 저한테 그냥 사치일 뿐.....
4년째 이런생활을 하는 제게 대학조차 사치인 것 같다는 생각이 드네요.... 살고싶지가 않아요"
"524","#90688번째울림
2017. 06. 19. 오후
<사는얘기>
어 제 상황을 말보다 더 확실한 짤로 만들어 와봤어요.."
"525","#90684번째울림
2017. 06. 19. 오전
<인간관계>
학회에 너무 짜증나는 오빠가 있어요.
맨날 시비털고 갈구고 기만하고 엽사찍고 얼마 전엔 약점도 잡혔어요.
저 갈구는 게 제일 행복하다면서 실실 쪼개는데 입을 찢어버리고 싶어요.
늘 번번히 제가 당해요 그게 저는 제일 분하고 너무 싫어요.
뭔가 법에 저촉되지 않는 선에서 치밀하고 교활하게 빅엿 먹일 수 있는 방법 없을까요? 진지합니다."
"526","#90680번째울림
2017. 06. 19. 오후
<저.. 진지합니다>
친구를 좋아하는거같아요..
게이는 아닌데.. 왜이럴까요..
교내에서 상담받아도 비밀보장되나요?"
"527","#90648번째울림 ~ #90651번째울림
#단편제보
#90651번째울림
2017. 06. 18. 오후
<사는얘기>
기무띠!!

#90650번째울림
2017. 06. 19. 오전
<군대>
남자만 군대가는건 정당한가요? 뭐로 정당화 될 수있을까요

#90649번째울림
2017. 06. 19. 오전
<학교>
여기서 학점 잘받고 뭐 해봐야 스카이 못이기겠죠?

#90648번째울림
2017. 06. 19. 오전
<인간관계>
애초에 누나랑 난 잘 안어울렸어"
"528","#90640번째울림
2017. 06. 18. 오후
<성균관대학교 대나무숲>
잘 지내? 
친한 친구였던 우리가 이제는 서로에게 상처인 사람으로만 남았네
짧다면 짧고 길다면 긴 시간동안 참 많이 아파하고 사랑했는데 이젠 정말 끝인 것 같다
니가 여전히 많이 밉고 원망스럽지만 그래도 문득 생각날 때마다 가슴이 답답한 걸보면 널 많이 좋아했었나봐
너랑 나는 늘 안 맞았었다고 생각했었는데 며칠 전 엔드라이브를 정리하면서 본 사진들 속에 너랑 나는 낯설만큼 환하게 웃고 있더라 
많이 행복했었고 많이 사랑했어서 내가 오랫동안, 많이 힘들어했나봐
이 아픔만은 절대 안 나을 줄 알았는데 정말 시간이 약이긴 하더라. 이젠 많이 좋아졌어
너는 끝내는 순간에도 별로 힘들지 않아 보였으니까 내가 걱정 안해도 되겠지!
사실 지금도 니가 다시 잡아줬으면, 술에 취해서라도 전화 한 번 했으면 하는 생각이 들어. 꽤 많이
하지만 니가 그러지 않을 거라는 것도, 행여 그러더라도 내가 내쳐야한다는 걸 알아 
그냥.. 니가 이 글을 볼지 안 볼지도 모르고 본다해도 나인지 모르겠지만 여기에 글이라도 써서 안부 묻고 싶었어 
좀 전에 많이 괜찮아졌다고 했는데 지금 보니까 또 모르겠다ㅎㅎ
다시 와달라고 하고 싶지만 참아야겠지 
잘 지내자 우리 
몸 잘 챙겨 패스트푸드 너무 많이 먹지말고! 
안녕"
"529","#90631번째울림
2017. 06. 18. 오후
<사랑>
1년을 가까이 사귄 남자친구,
분명 동아리 학회 같이하고 싶다고, 연락하던 같은 동네 산다던 과 후배.
계속해서 톡 오는 거에 연락 줄이면 안 되겠냐고 거듭 울면서도 이야기하고 넘어갔는데
그렇게 둘이 잔 거를 알게되고, 나랑 좋지 않았던 시기에 그 여자애가 사귀자고 해서 한 달을 사귀고 헤어졌다고 나한테 그제서야 잘해주려고 했던 남자친구를 알게되고, 아니 전남자친구.

하루에도 그 둘이 있는 모습이 공부하면서도 떠오르고
억지로 일상생활을 이어나간다 해도 그 순간순간이 떠오를 때마다 역겨워서 아무 것도 못하겠고

대숲에 올라오는 애인있는 사람에 호감을 가졌다는 글들,
볼 때마다 역겨움이 몇 번이고 치솟아오른다.

도대체 다들 너는 온 정성을 다했다던 이 연애,
내가 뭘 잘못했다고 내 자신을 부정당한 건지.
실제로 이야기해보겠다고 만났던 그 여자애가 예뻤어서,
안 그래도 낮았던 자존감은 바닥을 쳐서 핸드폰 속에 문득 비치는 내 얼굴에도 금방이고 초라해진다.

무섭고 역겹고 초라하다.
그네들은 나만큼 힘들지 않겠지, 괴롭지 않겠지라는 생각이 들면 더 역겨운 감정이 나를 뒤덮는다."
"530","#90612번째울림
2017. 06. 18. 오후
<사랑>
요즘 콘돔 없이 하는 관계에 대한 글이 종종 보이는 것 같아요. 사실 저는 평소에 할말 하고 사는 성격임에도 불구하고 애인이 콘돔 끼기 싫다고 할 때 거절하는 게 쉽진 않더라구요. 두세번 거절하다가 또 싫다하면 분위기 깨는 것 같아서 결국 하고 불안해하고, 결국 안하면 뾰로통해서 내가 미안한 감정 들게 만들고...
당당하게 싫으면 싫다고 할 권리가 있다는 것 알아요. 그런데 그게 쉽지 않더라구요. 그래서 남성분들이 스스로 피임을 잘 챙겨주셨으면 좋겠습니다. 전희는 그렇다 쳐도 삽입 전에 '콘돔은?'이라는 말이 나오기 전에, '잠깐만' 하면서 여자친구가 안심하고 관계 가질 수 있도록 해주세요. 특히 경험이 많이 없는 여자친구와 만나고 있다면 더욱 더 배려해주셨으면 합니다."
"531","#90575번째울림
2017. 06. 18. 오전
<사랑>
공평하게 존잘 존예 사진을 올립니다.
헉헉헉 보기만해도 심장이 뛰네요"
"532","#90573번째울림
2017. 06. 18. 오전
<인간관계>
안녕하십니까, 학우 여러분. 시험들은 잘 마무리하고 계신지 모르겠습니다. 다들 바쁜 이 시기에 고민이 하나 있어 글을 쓰게 되었습니다.

저는 롱디입니다. 만나러 가는 길은 편도로만 4시간 가까이 걸립니다.
돈은 상관이 없으니 더 빨리 갈 수 있으면 좋으련만 교통수단이 마땅치가 않습니다.

게다가 서로 바쁘기도 정말 바쁩니다. 그러다 보니 서로 만날 시간이 거의 없습니다.
이런 상황에서 제가 먼저 연락을 뜸하게 했고 이젠 서로 연락을 거의 하지도 않습니다.

한 달에 한 번 연락하면 많이 한 셈이고 마지막으로 연락한 지도 한 달이 넘었습니다.
심지어 올해는 아직 만난 적이 없습니다.

제 이런 상황을 아는 친구가 하나 있는데 항상 제게 사귀는 게 맞냐고 묻습니다.
저는 그래도 맞다고 대답은 하지만 자신이 없습니다.

이런 이야기를 애인한테 직접 하기에는 이제 너무 어색합니다.
그리고 바쁜 중에 폐가 되는 건 아닐까 걱정스럽다고 하지만 생각해 보니 결국 변명입니다.
네. 정말 어색합니다. 만나면 반가운 사람이겠지만 예전의 그 감정이 다시 생길지는 모르겠습니다.

그럼에도 헤어지고 싶단 생각은 들지 않습니다.
지금까지 많은 이성들을 만났지만 구체적으로 미래가 궁금했던 사람은 이 사람이 처음이기 때문입니다.
비록 그 사람이 어떻게 생각하는지는 알 수 없지만 적어도 저는 그렇습니다.

결국 결론을 낼 수도 없는 고민만 늘어진 채로 오늘도 잠을 설치다 글을 쓰게 되었습니다.
이상입니다.

좋은 하루 보내시길 바랍니다."
"533","#90572번째울림
2017. 06. 18. 오전
<사랑>
나한테 한 얘기가 맞을까? 맞다면 이게 답장이라고 눈치채주고 아니라면 나란걸 눈치채고 비웃고 지나가겠지...
가위바위보가 내얘기인거 같아서. 그냥 읽고 넘어가긴 싫었어. 하지만 어떻게 반응해야할지 모르겠어. 먼저 연락할 수도 없는 노릇이고 또  날 원망하는 것 같고. 너가 아니라도 다른 좋은 사람이라니. 그건 또 싫고. 다시한번 사과하는게 맞는거같아 미안해.. 근데 비워내지 않아도 되고 마음이 아프지 않았으면 해.. 내가 어떻게 하면 좋을까.."
